Model,RMSE,R²,MAE,NASA Score
XGBoost Optimized (Val),9.405271764435657,0.9491671323776245,6.348499774932861,5610.593287284411
LightGBM Optimized (Val),9.518446248288287,0.9479364325531385,6.475676280171571,5966.3466943679905
Random Forest (Baseline),9.85,0.9443,,
