Model,RMSE,MAE,R²,NASA Score
Random Forest (Val),9.848057338148513,6.270709634679861,0.94426821710551,6711.094263631119
Gradient Boosting (Val),9.937009503159688,6.412688275549445,0.9432568802266477,6943.939466411617
Linear Regression (Val),10.705055021666128,8.272251245123178,0.9341463869849318,6856.6635147735615
