loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
2518.78173828125,37.16984939575195,2518.78173828125,242.0574951171875,12.389439582824707,242.0574951171875,0.0010000000474974513
636.9569091796875,18.884721755981445,636.9569091796875,148.57852172851562,9.447237014770508,148.57852172851562,0.0010000000474974513
552.2233276367188,17.472124099731445,552.2233276367188,116.28547668457031,8.300226211547852,116.28547668457031,0.0010000000474974513
490.885009765625,16.330005645751953,490.885009765625,119.21214294433594,7.932779312133789,119.21214294433594,0.0010000000474974513
475.5711669921875,16.153976440429688,475.5711669921875,128.17947387695312,8.906688690185547,128.17947387695312,0.0010000000474974513
458.19842529296875,15.829581260681152,458.19842529296875,111.35479736328125,8.130586624145508,111.35479736328125,0.0010000000474974513
465.1401062011719,15.84598159790039,465.1401062011719,125.2201156616211,8.591358184814453,125.2201156616211,0.0010000000474974513
445.0889587402344,15.462796211242676,445.0889587402344,98.16973876953125,7.638155460357666,98.16973876953125,0.0010000000474974513
448.2783203125,15.488245964050293,448.2783203125,103.88361358642578,7.542184352874756,103.88361358642578,0.0010000000474974513
433.0101013183594,15.153657913208008,433.0101013183594,88.35060119628906,7.272704601287842,88.35060119628906,0.0010000000474974513
420.7320251464844,14.934111595153809,420.7320251464844,86.34871673583984,6.849114418029785,86.34871673583984,0.0010000000474974513
421.3993835449219,14.945730209350586,421.3993835449219,84.7679443359375,6.683526992797852,84.7679443359375,0.0010000000474974513
414.060302734375,14.830484390258789,414.060302734375,107.6078872680664,7.866461753845215,107.6078872680664,0.0010000000474974513
412.64752197265625,14.813202857971191,412.64752197265625,90.08025360107422,7.132918834686279,90.08025360107422,0.0010000000474974513
396.299072265625,14.49832820892334,396.299072265625,88.97354125976562,7.229454517364502,88.97354125976562,0.0010000000474974513
401.77435302734375,14.577494621276855,401.77435302734375,100.05607604980469,7.765846252441406,100.05607604980469,0.0010000000474974513
400.4410400390625,14.524285316467285,400.4410400390625,84.89286804199219,6.672327995300293,84.89286804199219,0.0010000000474974513
391.5562438964844,14.358771324157715,391.5562438964844,80.3536148071289,6.829929828643799,80.3536148071289,0.0005000000237487257
372.50262451171875,13.992798805236816,372.50262451171875,86.46317291259766,7.111232280731201,86.46317291259766,0.0005000000237487257
375.1454162597656,14.037046432495117,375.1454162597656,88.29634857177734,7.3050923347473145,88.29634857177734,0.0005000000237487257
369.6421203613281,13.939194679260254,369.6421203613281,98.16047668457031,7.575996398925781,98.16047668457031,0.0005000000237487257
376.94989013671875,14.04281234741211,376.94989013671875,96.06220245361328,7.167062282562256,96.06220245361328,0.0005000000237487257
365.90216064453125,13.821867942810059,365.90216064453125,83.94908142089844,7.01306676864624,83.94908142089844,0.0005000000237487257
356.53912353515625,13.71337604522705,356.53912353515625,104.54217529296875,7.4662652015686035,104.54217529296875,0.0002500000118743628
352.8031311035156,13.552291870117188,352.8031311035156,85.2671127319336,6.879388332366943,85.2671127319336,0.0002500000118743628
341.8965148925781,13.375740051269531,341.8965148925781,107.84144592285156,7.654557228088379,107.84144592285156,0.0002500000118743628
341.79913330078125,13.380083084106445,341.79913330078125,81.67166900634766,7.105626106262207,81.67166900634766,0.0002500000118743628
339.5397644042969,13.399102210998535,339.5397644042969,88.06095123291016,6.86102294921875,88.06095123291016,0.0002500000118743628
